FUNCTIONAL CLASS,RURAL_Interstate,RURAL_OtherFreeways,RURAL_PrincipalArterial,RURAL_MinorArterial,RURAL_MajorCollector,RURAL_MinorCollector,RURAL_Local,URBAN_Interstate,URBAN_OtherFreeways,URBAN_PrincipalArterial,URBAN_MinorArterial,URBAN_MajorCollector,URBAN_MinorCollector,URBAN_Local,Year
MONTGOMERY          ,2.25,0.0,2.35,20.47,55.551,34.992,199.836,39.275,24.437,153.11499999999998,229.616,199.753,75.649,2024.362,2017
MONTGOMERY          ,2.25,0.0,2.35,20.47,55.551,34.992000000000004,200.18599999999992,39.275,24.437,153.543,230.022,199.75300000000007,75.82799999999997,2024.5809999999444,2018
MONTGOMERY          ,2.25,0.0,2.35,20.47,55.67100000000001,34.992,200.269,39.275,24.437,154.97099999999998,231.964,200.923,76.038,2032.259,2019
MONTGOMERY          ,2.25,0.0,2.35,20.47,55.671,34.992000000000004,200.374,39.275,24.43700000000001,155.07599999999988,232.1020000000001,200.923,76.038,2033.347,2020
MONTGOMERY          ,2.25,0.0,2.35,20.47,55.671,34.992000000000004,199.745,39.275000000000006,24.43699999999998,155.07599999999982,232.1020000000001,200.92299999999992,76.038,2040.477,2021
MONTGOMERY          ,2.25,0.0,2.35,21.910000000000004,56.24,34.992000000000004,196.633,39.27499999999999,24.43700000000001,146.07000000000008,240.809,204.391,76.034,2044.715,2022
MONTGOMERY          ,2.25,0.0,2.35,21.845,56.24000000000001,34.992000000000004,196.762,39.275,24.437000000000005,146.06999999999988,240.814,204.391,76.034,2048.5710000000004,2023
